id,id,pl,uk,false-friends
194,195,angielski ,ангельський,1
195,196,arbuz,гарбуз,1
196,197,bajka,байка,1
197,198,zwierzę,звірʼя,1
198,199,bęben,бубон,1
199,200,bidło,бидло,1
200,201,błąd,блуд,1
201,202,bohater,богатир,1
202,203,broń,броня,1
203,204,bufet,буфет,1
204,205,celnik,цільник,1
205,206,celować,цілувати,1
206,207,chwila,хвиля,1
207,208,ciąża,тяжа,1
208,209,cieśnina,тіснина,1
209,210,córka,цурка,1
210,211,chwast,хвіст,1
211,212,chwost,хвіст,1
212,213,czaszka,чашка,1
213,214,człowiek,чоловік,1
214,215,ćwiek,цвях,1
215,216,dynia,диня,1
216,217,dywan,диван,1
217,218,garbus,гарбуз,1
218,219,giez,ґедзь,1
219,220,gniot,гніт,1
220,221,gomółka,гомілка,1
221,222,graty,ґрати,1
222,223,gromada,громада,1
223,224,grzbiet,хребет,1
224,225,gwiazda,гвіздок,1
225,226,hutnictwo,гутництво,1
226,227,jętka,ятка,1
227,228,język,язик,1
228,229,kazać,казати,1
229,230,kit,кіт,1
230,231,kolejka,колія,1
231,232,kolejny,колійний,1
232,233,koleśnica,колісниця,1
233,234,kończyna,кончина,1
234,235,kraina,країна,1
235,236,kraj,край,1
236,237,krowa,кров,1
237,238,krzesło,крісло,1
238,239,król,кроль,1
239,240,kwas,квас,1
240,241,laska,ласка,1
241,242,leczyć,лічити,1
242,243,liczba,лічба,1
243,244,los,лось,1
244,245,łyżwy,лижі,1
245,246,żyletka,жилетка,1
246,247,marzenie,марення,1
247,248,matka,матка,1
248,249,mecz,меч,1
249,250,mieć,меч,1
250,251,miłość,милість,1
251,252,motłoch,мотлох,1
252,253,naczynie,начиння,1
253,254,nietoperz,нетопир,1
254,255,niewidomy,невідомий,1
255,256,obóz,обоз,1
256,257,oddział,відділ,1
257,258,ogniwo,огниво,1
258,259,ogon,вогонь,1
259,260,ogród,город,1
260,261,oś,ось,1
261,262,owad,овід,1
262,263,owoc,овоч,1
263,264,pamiętnik,памʼятник,1
264,265,państwo,панство,1
265,266,parobek,парубок,1
266,267,pieniądz,пенязь,1
267,268,pierogi,пироги,1
268,269,pisarz,писар,1
269,270,płazy,плазуни,1
270,271,płeć,плече,1
271,272,plecy,плечі,1
272,273,płyta,плита,1
273,274,podatny,податний,1
274,275,pogrzeb,погріб,1
275,276,pojazd,поїзд,1
276,277,półka,пілка,1
277,278,potoczny,поточний,1
278,279,poturbować,потурбувати,1
279,280,powieść,повість,1
280,281,praska,праска,1
281,282,przypadek,припадок,1
282,283,przyszły,прийшлий,1
283,284,puszka,пушка,1
284,285,rosół,розсіл,1
285,286,rydwan,ридван,1
286,287,składka,складка,1
287,288,sklep,склеп,1
288,289,słynny,слинний,1
289,290,spółkować,спілкуватися,1
290,291,sprawdzić,справдити,1
291,292,stos,стіс,1
292,293,strata,страта,1
293,294,stracić,стратити,1
294,295,strzelba,стрільба,1
295,296,stryczek,стрічка,1
296,297,świt,світ,1
297,298,szary,шари,1
298,299,szczegół,щиголь,1
299,300,szczęka,щока,1
300,301,szczyt,щит,1
301,302,sztuka,штука,1
302,303,szyna,шина,1
303,304,śruba,шуруп,1
304,305,tabor,табір,1
305,306,talerz,талер,1
306,307,tańszy,тонший,1
307,308,trzon,трон,1
308,309,trzonek,троник,1
309,310,udział,уділ,1
310,311,urok,урок,1
311,312,wąż,вуж,1
312,313,włoski,волоський,1
313,314,wniosek,висновок,1
314,315,wróbel,рубель,1
315,316,wyspa,віспа,1
316,317,zasób,засіб,1
317,318,zawód,завод,1
318,319,zbrodnia,збрід,1
319,320,zbroja,зброя,1
320,321,zbyt,збиток,1
321,322,że,же,1
322,323,zły,злий,1
323,324,znaczek,значок,1
324,325,żołądek,жолудь,1
325,326,związek,звʼязок,1
326,327,adidasy,адідаси,1
327,328,awans,аванс,1
328,329,awantura,авантюра,1
329,330,błoto,болото,1
330,331,bagno,багно,1
331,332,bydło,бидло,1
332,333,biegun,бігун,1
333,334,biesiada,бесіда,1
334,335,blacha,бляха,1
335,336,bok,бік,1
336,337,bratanek,братанчик,1
337,338,bratanica,братанчик,1
338,339,cierpienie,терпіння,1
339,340,chełm,холм,1
340,341,czasami,часами,1
341,342,czeluść,челюсть,1
342,343,czubek,чубчик,1
343,344,czyhać,чхати,1
344,345,czyn,чин,1
345,346,dosadny,досадний,1
346,347,duma,дума,1
347,348,działo,діло,1
348,349,deputat,депутат,1
349,350,dewizy,девізи,1
350,351,dokonać,доконати,1
351,352,dzierżawa,держава,1
352,353,fara,фара,1
353,354,gadać,гадати,1
354,355,garnitur,гарнітур,1
355,356,głaz,глаз,1
356,357,górny,гірний,1
357,358,gracz,грач,1
358,359,granatowy,гранатовий,1
359,360,groza,гроза,1
360,361,grzywna,гривня,1
361,362,hurma,хурма,1
362,363,konieczny,кінцевий,1
363,364,korale,корали,1
364,365,kozaki,козаки,1
365,366,krysia,криса,1
366,367,lubieżny,любʼязний,1
367,368,magazyn,магазин,1
368,369,magazynek,магазинчик,1
369,370,malarz,маляр,1
370,371,młodzieniec,младенець,1
371,372,mord,морда,1
372,373,mylny,мильний,1
373,374,nagły,наглий,1
374,375,obradować,порадувати,1
375,376,oddychać,відпочивати,1
376,377,ołów,олово,1
377,378,osada,осада,1
378,379,ożóg,ожог,1
379,380,pacan,пацан,1
380,381,pensja,пенсія,1
381,382,pień,пень,1
382,383,piłka,пилка,1
383,384,piłka nożna, ножна пилка,1
384,385,piwnica,пивниця,1
385,386,pluton,плутон,1
386,387,postradać,постраждати,1
387,388,pozorny,позорний,1
388,389,prosto,просто,1
389,390,pukać,пукати,1
390,391,rozerwać się,розірватися,1
391,392,rozkaz,розказ,1
392,393,ryk,рик,1
393,394,smukła,смугла,1
394,395,soplе,соплі,1
395,396,spisek,список,1
396,397,sposobność,способність,1
397,398,spotykać się,спотикатися,1
398,399,ssać,ссати,1
399,400,ssaki,саки,1
400,401,sutki,сутки,1
401,402,szał,шаль,1
402,403,śmietanka,сметанка,1
403,404,taras,тарас,1
404,405,trawnik,травник,1
405,406,tykać,тикати,1
406,407,ubić,вбити,1
407,408,upominać,споминати,1
408,409,uważać,поважати,1
409,410,woń,вонь,1
410,411,wygodny,вигідний,1
411,412,wzór,взір,1
412,413,wzwód,взвод,1
413,414,zabieg,забіг,1
414,415,zakon,закон,1
415,416,zalotny,зальотний,1
416,417,zapomnieć,запамʼятати,1
417,418,zasada,засідка,1
418,419,zasnuć,заснути,1
419,420,zimny,зимовий,1
420,421,żelazko,залізяка,1
421,422,gruby,грубий,1
422,423,aktualny,актуальний,1
423,424,brązowy,бронзовий,1
424,425,korzystny,корисний,1
425,426,łagodny,лагідний,1
426,427,luźny,лужний,1
427,428,pyszny,пишний,1
428,429,prawdziwy,правдивий,1
429,430,przystojny,пристойний,1
430,431,solny,сольний,1
431,432,baczyć,бачити,1
432,433,kopać,копати,1
433,434,obrachować,обрахувати,1
434,435,poruszyć,порушити,1
435,436,porwać,порвати,1
436,437,sapać,сапати,1