,id,pl,uk,false_friends,orthographic_sim,predictions
0,1,śniadanie,сніданок,0,1,1
1,2,wegetarianin,вегетаріанський,0,1,1
2,3,napój,напій,0,1,1
3,4,kawa,кава,0,1,1
4,5,sok,сік,0,1,1
5,6,woda,вода,0,1,1
6,7,piwo,пиво,0,1,1
7,8,wino,вино,0,1,1
8,9,sól,сіль,0,1,1
9,10,mięso,м’ясо,0,1,0
10,11,ryba,риба,0,1,1
11,12,deser,десерт,0,1,1
12,13,czas,час,0,1,1
13,14,godzina,година,0,1,1
14,15,rano,ранок,0,1,1
15,16,dzień,день,0,1,0
16,17,wczoraj,вчора,0,1,1
17,18,tydzień,тиждень,0,1,1
18,19,miesiąc,місяць,0,1,1
19,20,rok,рік,0,1,1
20,21,poniedziałek,понеділок,0,1,1
21,22,wtorek,вівторок,0,1,1
22,23,środa,середа,0,1,1
23,24,czwartek,четвер,0,1,1
24,25,piątek,п’ятниця,0,1,0
25,26,sobota,субота,0,1,1
26,27,niedziela,неділя,0,1,1
27,28,styczeń,січень,0,1,1
28,29,luty,лютий,0,1,1
29,30,kwiecień,квітень,0,1,0
30,31,czerwiec,червень,0,1,1
31,32,lipiec,липень,0,1,1
32,33,sierpień,серпня,0,1,1
33,34,wrzesień,вересень,0,1,0
34,35,listopad,листопад,0,1,1
35,36,grudzień,грудень,0,1,1
36,37,wiosna,весна,0,1,1
37,38,lato,літо,0,1,1
38,39,jesień,осінь,0,1,1
39,40,tak,так,0,1,1
40,41,dziękuję,дякую,0,1,1
41,42,przepraszam,перепрошую,0,1,1
42,43,dobranoc,добраніч,0,1,1
43,44,ja,я,0,1,0
44,45,my,ми,0,1,1
45,46,ty,ти,0,1,1
46,47,wy,ви,0,1,0
47,48,oni,вони,0,1,1
48,49,dobrze,добре,0,1,1
49,50,syn,син,0,1,1
50,51,pociąg,потяг,0,1,1
51,52,autobus,автобус,0,1,1
52,53,metro,метро,0,1,1
53,54,paszport,паспорт,0,1,1
54,55,daleko,далеко,0,1,1
55,56,blisko,близько,0,1,1
56,57,jeden,один,0,1,1
57,58,dwa,два,0,1,1
58,59,trzy,три,0,1,1
59,60,cztery,чотири,0,1,1
60,61,pięć,п’ять,0,1,0
61,62,sześć,шість,0,1,0
62,63,siedem,сім,0,1,1
63,64,osiem,вісім,0,1,1
64,65,dziewięć,дев’ять,0,1,0
65,66,dziesięć,десять,0,1,0
66,67,jedenaście,одинадцять,0,1,1
67,68,dwanaście,дванадцять,0,1,1
68,69,trzynaście,тринадцять,0,1,1
69,70,czternaście,чотирнадцять,0,1,1
70,71,piętnaście,п’ятнадцять,0,1,0
71,72,szesnaście,шістнадцять,0,1,1
72,73,siedemnaście,сімнадцять,0,1,1
73,74,osiemnaście,вісімнадцять,0,1,1
74,75,dziewiętnaście,дев’ятнадцять,0,1,0
75,76,dwadzieścia,двадцять,0,1,1
76,77,trzydzieści,тридцять,0,1,0
77,78,pięćdziesiąt,п’ятдесят,0,1,0
78,79,sześćdziesiąt,шістдесят,0,1,1
79,80,siedemdziesiąt,сімдесят,0,1,1
80,81,osiemdziesiąt,вісімдесят,0,1,1
81,82,sto,сто,0,1,1
82,83,dwieście,двісті,0,1,1
83,84,trzysta,триста,0,1,1
84,85,czterysta,чотириста,0,1,1
85,86,pięćset,п’ятсот,0,1,0
86,87,tysiąc,тисяча,0,1,1
87,88,milion,мільйон,0,1,1
88,89,mleko,молоко,0,1,1
89,90,słońce,сонце,0,1,1
90,91,rzeka,ріка,0,1,1
91,92,drzewo,дерево,0,1,1
92,93,woda,вода,0,1,1
93,94,chleb,хліб,0,1,1
94,95,noc,ніч,0,1,1
95,96,kot,кіт,0,1,1
96,97,most,міст,0,1,1
97,98,szkoła,школа,0,1,1
98,99,stół,стіл,0,1,1
99,100,ulica,вулиця,0,1,1
100,101,miasto,місто,0,1,1
101,102,dom,дім,0,1,1
102,103,ręka,рука,0,1,1
103,104,kwiat,квітка,0,1,0
104,105,muzyka,музика ,0,1,1
105,106,hotel,готель,0,1,1
106,107,być,бути,0,1,0
107,108,robić,робити,0,1,1
108,109,mówić,мовити,0,1,0
109,110,chodzić,ходити,0,1,1
110,111,jeść,їсти,0,1,0
111,112,pić,пити,0,1,1
112,113,pisać,писати,0,1,1
113,114,czytać,читати,0,1,1
114,115,rozumieć,розуміти,0,1,1
115,116,uczyć się,вчитися,0,1,0
116,117,pracować,працювати,0,1,1
117,118,słuchać,слухати,0,1,1
118,119,znać,знати,0,1,1
119,120,kupować,купувати,0,1,1
120,121,sprzedawać,продавати,0,1,1
121,122,rozpoczynać,розпочинати,0,1,1
122,123,podróżować,подорожувати,0,1,1
123,124,zapraszać,запрошувати,0,1,1
124,125,odpowiadać,відповідати,0,1,1
125,126,pytać,питати,0,1,1
126,127,przychodzić,приходити,0,1,1
127,128,odwiedzać,відвідувати),0,1,0
128,129,szukać,шукати,0,1,1
129,130,dzwonić,дзвонити,0,1,1
130,131,śpiewać,співати,0,1,1
131,132,tańczyć,танцювати,0,1,0
132,133,gotować,готувати,0,1,1
133,134,grać,грати,0,1,1
135,136,myć,мити,0,1,0
137,138,budować,будувати,0,1,1
138,139,chodzić,ходити,0,1,1
139,140,spać,спати,0,1,1
140,141,wstawać,вставати,0,1,1
141,142,siedzieć,сидіти,0,1,1
142,143,mały,малий,0,1,1
143,144,nowy,новий,0,1,1
144,145,stary,старий,0,1,1
145,146,świeży,свіжий,0,1,0
146,147,gorący,гарячий,0,1,1
147,148,wysoki,високий,0,1,1
148,149,niski,низький,0,1,1
149,150,silny,сильний,0,1,1
150,151,słaby,слабкий,0,1,1
151,152,powolny,повільний,0,1,1
152,153,szczęśliwy,щасливий,0,1,1
153,154,dobry,добрий,0,1,1
154,155,ciepły,теплий,0,1,1
155,156,ciężki,тяжкий,0,1,1
156,157,jasny,ясний,0,1,1
157,158,ciemny,темний,0,1,1
158,159,cienki,тонкий,0,1,1
159,160,brudny,брудний,0,1,1
160,161,smaczny,смачний,0,1,1
161,162,zdrowy,здоровий,0,1,1
162,163,chory,хворий,0,1,1
163,164,młody,молодий,0,1,1
164,165,oko,око,0,1,1
165,166,serce,серце,0,1,1
166,167,książka,книга,0,1,1
167,168,strona,сторінка,0,1,1
168,169,nocleg,нічліг,0,1,1
169,170,dziecko,дитятко,0,1,1
170,171,wiek,вік,0,1,1
172,173,koń,кінь,0,1,0
173,174,głowa,голова,0,1,1
174,175,kamień,камінь,0,1,1
175,176,ból,біль,0,1,1
176,177,nadzieja,надія,0,1,1
177,178,włosy,волосся,0,1,1
178,179,krew,кров,0,1,1
179,180,różnica,різниця,0,1,1
180,181,rękaw,рукав,0,1,1
181,182,okno,вікно,0,1,1
182,183,przyjaciel,приятель,0,1,1
183,184,list,лист,0,1,1
184,185,świat,світ,0,1,1
185,186,słowo,слово,0,1,1
186,187,morze,море,0,1,1
187,188,góra,гора,0,1,1
188,189,las,ліс,0,1,1
189,190,pole,поле,0,1,1
190,191,dzwonek,дзвінок,0,1,1
191,192,telefon,телефон,0,1,1
192,193,przygoda,пригода,0,1,1
193,194,światło,світло,0,1,1
194,195,angielski ,ангельський,1,1,1
195,196,arbuz,гарбуз,1,1,1
196,197,bajka,байка,1,1,1
197,198,zwierzę,звірʼя,1,1,0
198,199,bęben,бубон,1,1,1
199,200,bidło,бидло,1,1,1
200,201,błąd,блуд,1,1,1
201,202,bohater,богатир,1,1,1
202,203,broń,броня,1,1,1
203,204,bufet,буфет,1,1,1
205,206,celować,цілувати,1,1,1
206,207,chwila,хвиля,1,1,1
207,208,ciąża,тяжа,1,1,0
208,209,cieśnina,тіснина,1,1,1
209,210,córka,цурка,1,1,1
210,211,chwast,хвіст,1,1,1
211,212,chwost,хвіст,1,1,1
212,213,czaszka,чашка,1,1,1
213,214,człowiek,чоловік,1,1,1
214,215,ćwiek,цвях,1,1,0
215,216,dynia,диня,1,1,1
216,217,dywan,диван,1,1,1
217,218,garbus,гарбуз,1,1,1
218,219,giez,ґедзь,1,1,1
219,220,gniot,гніт,1,1,1
220,221,gomółkaгомілка,грудка,1,1,0
221,222,graty,ґрати,1,1,1
222,223,gromada,громада,1,1,1
223,224,grzbiet,хребет,1,1,1
224,225,gwiazda,гвіздок,1,1,1
225,226,hutnictwo,гутництво,1,1,1
226,227,jętka,ятка,1,1,1
227,228,język,язик,1,1,1
228,229,kazać,казати,1,1,1
229,230,kit,кіт,1,1,1
230,231,kolejka,колія,1,1,1
231,232,kolejny,колійний,1,1,1
233,234,kończyna,кончина,1,1,1
234,235,kraina,країна,1,1,1
235,236,kraj,край,1,1,1
236,237,krowa,кров,1,1,1
237,238,krzesło,крісло,1,1,1
238,239,król,кроль,1,1,1
239,240,kwas,квас,1,1,1
240,241,laska,ласка,1,1,1
241,242,leczyć,лічити,1,1,0
242,243,liczba,лічба,1,1,1
243,244,los,лось,1,1,1
244,245,łyżwy,лижі,1,1,0
245,246,żyletka,жилетка,1,1,1
246,247,marzenie,марення,1,1,1
247,248,matka,матка,1,1,1
248,249,mecz,меч,1,1,1
249,250,mieć,меч,1,1,1
250,251,miłość,милість,1,1,1
251,252,motłoch,мотлох,1,1,1
252,253,naczynie,начиння,1,1,1
253,254,nietoperz,нетопир,1,1,1
254,255,niewidomy,невідомий,1,1,1
255,256,obóz,обоз,1,1,1
256,257,oddział,відділ,1,1,1
258,259,ogon,вогонь,1,1,1
259,260,ogród,город,1,1,1
260,261,oś,ось,1,1,1
261,262,owad,овід,1,1,1
262,263,owoc,овоч,1,1,1
263,264,pamiętnik,памʼятник,1,1,0
264,265,państwo,панство,1,1,1
265,266,parobek,парубок,1,1,1
267,268,pierogi,пироги,1,1,1
268,269,pisarz,писар,1,1,1
269,270,płazy,плазуни,1,1,1
270,271,płeć,плече,1,1,1
271,272,plecy,плечі,1,1,1
272,273,płyta,плита,1,1,1
274,275,pogrzeb,погріб,1,1,1
275,276,pojazd,поїзд,1,1,1
276,277,półka,пилка,1,1,1
277,278,potoczny,поточний,1,1,1
279,280,powieść,повість,1,1,1
280,281,praska,праска,1,1,1
281,282,przypadek,припадок,1,1,1
283,284,puszka,пушка,1,1,1
284,285,rosół,розсіл,1,1,1
285,286,rydwan,ридван,1,1,1
286,287,składka,складка,1,1,1
287,288,sklep,склеп,1,1,1
292,293,strata,страта,1,1,1
293,294,stracić,стратити,1,1,1
294,295,strzelba,стрільба,1,1,1
295,296,stryczek,стрічка,1,1,1
296,297,świt,світ,1,1,1
297,298,szary,шари,1,1,1
298,299,szczegół,щиголь,1,1,1
299,300,szczęka,щока,1,1,1
300,301,szczyt,щит,1,1,1
301,302,sztuka,штука,1,1,1
302,303,szyna,шина,1,1,1
303,304,śruba,шуруп,1,1,0
304,305,tabor,табір,1,1,1
305,306,talerz,талер,1,1,1
306,307,tańszy,тонший,1,1,0
307,308,trzon,трон,1,1,1
309,310,udział,уділ,1,1,1
310,311,urok,урок,1,1,1
311,312,wąż,вуж,1,1,0
312,313,włoski,волоський,1,1,1
313,314,wniosek,висновок,1,1,1
314,315,wróbel,рубель,1,1,1
315,316,wyspa,віспа,1,1,1
316,317,zasób,засіб,1,1,1
317,318,zawód,завод,1,1,1
319,320,zbroja,зброя,1,1,1
320,321,zbyt,збиток,1,1,1
321,322,że,же,1,1,0
322,323,zły,злий,1,1,1
323,324,znaczek,значок,1,1,1
324,325,żołądek,жолудь,1,1,1
325,326,związek,звʼязок,1,1,0
327,328,awans,аванс,1,1,1
328,329,awantura,авантюра,1,1,1
329,330,błoto,болото,1,1,1
330,331,bagno,багно,1,1,1
331,332,bydło,бидло,1,1,1
332,333,biegun,бігун,1,1,1
333,334,biesiada,бесіда,1,1,1
334,335,blacha,бляха,1,1,1
335,336,bok,бік,1,1,1
336,337,bratanek,братик,1,1,1
337,338,bratanica,братик,1,1,1
338,339,cierpienie,терпіння,1,1,0
339,340,chełm,холм,1,1,1
340,341,czasami,часами,1,1,1
342,343,czubek,чубчик,1,1,1
343,344,czyhać,чхати,1,1,1
344,345,czyn,чин,1,1,1
346,347,duma,дума,1,1,1
347,348,działo,діло,1,1,1
348,349,deputat,депутат,1,1,1
349,350,dewizy,девізи,1,1,1
351,352,dzierżawa,держава,1,1,1
352,353,fara,фара,1,1,1
353,354,gadać,гадати,1,1,1
354,355,garnitur,гарнітур,1,1,1
355,356,głaz,глаз,1,1,1
356,357,górny,гірний,1,1,1
357,358,gracz,грач,1,1,1
358,359,granatowy,гранатовий,1,1,1
359,360,groza,гроза,1,1,1
360,361,grzywna,гривня,1,1,1
361,362,hurma,хурма,1,1,1
362,363,konieczny,кінцевий,1,1,1
363,364,korale,корали,1,1,1
364,365,kozaki,козаки,1,1,1
365,366,krysia,криса,1,1,1
366,367,lubieżny,любʼязний,1,1,0
367,368,magazyn,магазин,1,1,1
368,369,magazynek,магазинчик,1,1,1
369,370,malarz,маляр,1,1,1
371,372,mord,морда,1,1,1
372,373,mylny,мильний,1,1,1
373,374,nagły,наглий,1,1,1
374,375,obradować,порадувати,1,1,1
375,376,oddychać,відпочивати,1,1,1
376,377,ołów,олово,1,1,1
377,378,osada,осада,1,1,1
379,380,pacan,пацан,1,1,1
380,381,pensja,пенсія,1,1,1
381,382,pień,пень,1,1,1
382,383,piłka,пилка,1,1,1
383,384,piłka nożna, ножна пилка,1,1,0
384,385,piwnica,пивниця,1,1,1
385,386,pluton,плутон,1,1,1
388,389,prosto,просто,1,1,1
391,392,rozkaz,розказ,1,1,1
392,393,ryk,рик,1,1,0
394,395,soplе,соплі,1,1,0
395,396,spisek,список,1,1,1
398,399,ssać,ссати,1,1,1
399,400,ssaki,саки,1,1,1
400,401,sutki,сутки,1,1,1
401,402,szał,шаль,1,1,1
402,403,śmietanka,сметанка,1,1,1
403,404,taras,тарас,1,1,1
404,405,trawnik,травник,1,1,1
405,406,tykać,тикати,1,1,1
406,407,ubić,вбити,1,1,1
408,409,uważać,поважати,1,1,0
409,410,woń,вонь,1,1,0
410,411,wygodny,вигідний,1,1,1
411,412,wzór,взір,1,1,1
412,413,wzwód,взвод,1,1,1
413,414,zabieg,забіг,1,1,1
414,415,zakon,закон,1,1,1
416,417,zapomnieć,запамʼятати,1,1,0
417,418,zasada,засідка,1,1,1
419,420,zimny,зимовий,1,1,1
420,421,żelazko,залізяка,1,1,0
421,422,gruby,грубий,1,1,1
422,423,aktualny,актуальний,1,1,1
423,424,brązowy,бронзовий,1,1,1
424,425,korzystny,корисний,1,1,1
425,426,łagodny,лагідний,1,1,1
426,427,luźny,лужний,1,1,1
427,428,pyszny,пишний,1,1,1
428,429,prawdziwy,правдивий,1,1,1
429,430,przystojny,пристойний,1,1,1
430,431,solny,сольний,1,1,1
431,432,baczyć,бачити,1,1,1
432,433,kopać,копати,1,1,1
433,434,rachować,рахувати,1,1,1
434,435,poruszyć,порушити,1,1,1
435,436,porwać,порвати,1,1,1
437,438,toczyć,точити,1,1,1
438,439,przystojny,сніданок,2,0,0
439,440,adidasy,вегетаріанський,2,0,1
440,441,zabieg,напій,2,0,0
441,442,uczyć się,кава,2,0,0
442,443,dynia,сік,2,0,0
